,Serie,Date,Value
17204,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-15,0.8313253012048193
17205,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-16,4800.0
17206,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-16,38430.96385542169
17207,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-16,24.83132530120482
17208,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-17,3600.0
17209,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-17,78383.96385542168
17210,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-17,26.83132530120482
17211,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-16,60507.0
17212,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-16,81.0
17213,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-16,7145.0
17214,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-17,76862.0
17215,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-17,123.0
17216,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-17,7145.0
17217,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-18,104590.0
17218,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-18,161.0
17219,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-18,7145.0
17220,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-19,55784.0
17221,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-19,85.0
17222,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-19,7145.0
17223,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-20,77631.0
17224,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-20,151.0
17225,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-20,7145.0
17226,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-21,19570.0
17227,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-21,43.0
17228,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-21,3400.0
17229,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-22,15013.0
17230,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-22,67.0
17231,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-22,3400.0
17232,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-12-04,29018.0
17233,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-12-04,122.0
17234,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-12-04,0.0
17235,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-12-05,44306.0
17236,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-12-05,176.0
17237,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-12-05,0.0
17238,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-12-06,44420.0
17239,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-12-06,146.0
17240,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-12-06,0.0
17241,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-12-07,121807.0
17242,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-12-07,340.0
17243,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-12-07,3400.0
17244,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-12-08,75210.0
17245,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-12-08,161.0
17246,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-12-08,0.0
17247,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-12-09,20611.0
17248,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-12-09,42.0
17249,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-12-09,0.0
17250,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-12-10,18755.0
17251,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-12-10,119.0
17252,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-12-10,0.0
17253,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-27,11206.0
17254,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-27,64.0
17255,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-27,3400.0
17256,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-28,4728.0
17257,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-28,8.0
17258,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-28,0.0
17259,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-29,4957.0
17260,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-29,4.0
17261,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-29,0.0
17262,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-01,75425.0
17263,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-01,111.0
17264,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-01,7145.0
17265,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-02,72548.0
17266,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-02,84.0
17267,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-02,7145.0
17268,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-20,113110.0
17269,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-20,297.0
17270,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-20,25500.0
17271,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-21,29882.0
17272,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-21,115.0
17273,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-21,0.0
17274,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-08,92218.0
17275,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-08,131.0
17276,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-08,7693.39
17277,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-09,106791.0
17278,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-09,93.0
17279,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-09,7693.39
17280,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-10,120805.0
17281,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-10,209.0
17282,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-10,11093.39
17283,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-11,119270.0
17284,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-11,296.0
17285,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-11,11093.39
17286,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-12,99945.0
17287,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-12,126.0
17288,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-12,7693.39
17289,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-13,15128.0
17290,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-13,28.0
17291,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-13,3948.39
17292,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-14,16549.0
17293,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-14,34.0
17294,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-14,3948.39
17295,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-15,25271.0
17296,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-15,46.0
17297,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-15,3948.39
17298,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-16,46120.0
17299,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-16,137.0
17300,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-16,3948.39
17301,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-17,59366.0
17302,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-17,210.0
17303,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-17,3948.39
17304,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-18,90202.0
17305,Display-Direct Buy-NA-NA-AdWeek-Clicks,2024-01-18,156.0
17306,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-18,3948.39
17307,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-30,48631.0
17308,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-30,4.0
